revenue,budget,Prediction Score
114830111.0,40000000.0,4
52597999.0,28000000.0,10
42000000.0,15000000.0,10
105197635.0,50000000.0,4
45361000.0,16000000.0,10
27642707.0,72000000.0,10
63513743.0,14000000.0,10
75715436.0,68000000.0,4
96900000.0,27000000.0,4
11083449.0,5000.0,0
44862187.0,15000000.0,10
33788161.0,22000000.0,10
50548152.0,45000000.0,10
16519460.0,27000000.0,0
12355798.0,17000000.0,0
212011111.0,150000000.0,9
83531958.0,24000000.0,4
320689294.0,54000000.0,2
213928762.0,8000000.0,9
113857533.0,10800000.0,4
44462.0,3500000.0,0
216485654.0,52000000.0,9
14624826.0,4317946.0,0
5000000.0,5500000.0,0
6436211.0,9000000.0,0
37600000.0,1000000.0,10
44703995.0,6000000.0,10
22471595.0,20000000.0,10
12643776.0,6000000.0,0
1000000.0,375000.0,0
80547866.0,20000000.0,4
260696994.0,75000000.0,9
45056771.0,20000000.0,10
31672907.0,11000000.0,10
2070806.0,1900000.0,0
50700000.0,2500000.0,10
11403529.0,2500000.0,0
13000000.0,5200000.0,0
10278549.0,17000000.0,0
108981275.0,3000000.0,4
286140700.0,115000000.0,2
57891803.0,26000000.0,10
53181600.0,28000000.0,10
1270522.0,6000000.0,0
11300653.0,15000000.0,0
79384880.0,4800000.0,4
6600000.0,2686000.0,0
189015611.0,63000000.0,7
93354918.0,60000000.0,4
752600867.0,165000000.0,1
31559552.0,15000000.0,10
10755447.0,2410000.0,0
35134820.0,76000000.0,10
560069.0,7000000.0,0
207945075.0,20000000.0,9
101758490.0,1000000.0,4
1943649.0,1700000.0,0
1461989.0,10000000.0,0
29193330.0,27563396.0,10
146175066.0,175000000.0,7
12600000.0,3500000.0,0
214104620.0,80000000.0,9
87754044.0,19800000.0,4
12200000.0,5000000.0,0
31576.0,700000.0,0
3763988.0,20000000.0,0
460978.0,8256269.0,0
13500000.0,2000000.0,0
35743308.0,48000000.0,10
11875866.0,24000000.0,0
29381649.0,16000000.0,10
26820641.0,39000000.0,10
9077700.0,6000000.0,0
5816211.0,7000000.0,0
151161491.0,40000000.0,7
96105964.0,80000000.0,4
32726956.0,12000000.0,10
16675000.0,4000000.0,0
194168700.0,85000000.0,9
40716963.0,12000000.0,10
50000000.0,5000000.0,10
57862.0,2500000.0,0
15121165.0,15000000.0,0
29200000.0,25000000.0,10
25928721.0,58000000.0,10
102367405.0,60000000.0,4
390493908.0,48000000.0,2
162949164.0,126000000.0,7
4398989.0,6000000.0,0
374743.0,17000000.0,0
22812411.0,1500000.0,0
12007070.0,20000000.0,0
64191523.0,15000000.0,10
142337240.0,100000000.0,7
93246388.0,35000000.0,4
60251371.0,35000000.0,10
3360800.0,15000000.0,0
27165581.0,6000000.0,0
13700000.0,24000000.0,0
59600000.0,950000.0,10
5900000.0,5210000.0,0
8927600.0,5579750.0,0
22772019.0,5000000.0,0
12118661.0,6700000.0,0
1450000.0,270000.0,0
20518905.0,9000000.0,0
70200000.0,30000000.0,4
8135031.0,7500000.0,0
269994119.0,37000000.0,9
162360636.0,90000000.0,7
12434778.0,16000000.0,0
32155047.0,16000000.0,10
8762890.0,15000000.0,0
59209.0,15000000.0,0
4400000.0,1500000.0,0
91036760.0,25000000.0,4
16656125.0,14000000.0,0
31899000.0,6500000.0,0
6100000.0,350000.0,0
152036382.0,32000000.0,7
8844595.0,1700000.0,0
85512300.0,12000000.0,4
49084830.0,7000000.0,10
4200000.0,1500000.0,0
242295562.0,100000000.0,9
16504936.0,27000000.0,0
4386236.0,9600000.0,0
160583018.0,40000000.0,7
7316658.0,10000000.0,0
2411594.0,2196531.0,0
255000211.0,70000000.0,9
500000.0,500000.0,0
83957.0,150000.0,0
90259536.0,30000000.0,4
186053725.0,120000000.0,7
169852759.0,80000000.0,7
2800000.0,240000.0,0
32801173.0,19000000.0,10
105200903.0,60000000.0,4
5446000.0,40000000.0,0
645135.0,143149.0,0
15704614.0,25000000.0,0
358375603.0,85000000.0,2
5300.0,15000.0,0
26589000.0,2200000.0,0
183293131.0,26000000.0,7
19000000.0,10000000.0,0
368744044.0,5000000.0,2
22030000.0,13000000.0,0
572700000.0,32350000.0,8
30930984.0,40000000.0,10
770706.0,8500000.0,0
147780440.0,25000000.0,7
25035950.0,50000000.0,10
28215918.0,3500000.0,0
500000.0,500000.0,0
102308889.0,6000000.0,4
383531464.0,110000000.0,2
16945171.0,9000000.0,0
80000000.0,12000000.0,4
2691899.0,1000000.0,0
4000000.0,3000000.0,0
85632458.0,70000000.0,4
1600000.0,700000.0,0
58662452.0,40000000.0,10
603900354.0,150000000.0,8
13276953.0,11000000.0,0
295750.0,10000000.0,0
1000000.0,500000.0,0
44460850.0,10000000.0,10
9636289.0,10000000.0,0
1359910.0,7500000.0,0
112483764.0,85000000.0,7
112892319.0,1200000.0,4
22611954.0,25000000.0,10
29657751.0,26000000.0,10
133332.0,20000000.0,0
3301446.0,1000000.0,0
165000.0,994000.0,0
1215439994.0,200000000.0,3
14674076.0,2000000.0,0
111858363.0,11000000.0,4
4600000.0,2300000.0,0
760883.0,1200000.0,0
15171476.0,13200000.0,0
9000000.0,1200000.0,0
74188937.0,25000000.0,4
82800000.0,45000000.0,4
225861.0,45202.0,0
33662874.0,29000000.0,10
3721911.0,13000000.0,0
23563727.0,8000000.0,0
6735922.0,17000000.0,0
115860.0,3512454.0,0
748806957.0,180000000.0,1
11098131.0,1500000.0,0
169956806.0,120000000.0,7
93820758.0,100000000.0,4
64352607.0,30000000.0,4
946461.0,17000000.0,0
2347000.0,6500000.0,0
559852396.0,200000000.0,8
863416141.0,200000000.0,5
89162162.0,42000000.0,4
41819064.0,62000000.0,10
373552094.0,132000000.0,2
