Trial,Model,TF RMS,TF Error %,TF R2,TF R2 (normalized),SK RMS,SK Error %,SK R2,SK R2 (normalized)
32,budget -> revenueLog,0.0152113,3066.172684989751,-50.3241464739,0.334281713167,0.0152099051576,3057.6607264932695,-53.3069449212,0.334342281092
33,"Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueLog",0.0264171,6473.251224048982,-0.0797169721908,0.128723852817,0.026384705214,6462.740494457276,-0.0801854581393,0.129792344931
34,"Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueLog",0.0285011,7476.8310292025335,-0.100907641596,0.0811056617572,0.0285014153376,7477.931163307373,-0.100909297594,0.0810958623497
35,"Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueLog",0.0278486,4867.187140482073,-0.129197580148,0.0427766418332,0.0278583418365,4884.084106414494,-0.128768873611,0.0424429663802
36,"year,budget -> revenueLog",0.0257587,6279.988274162927,-0.214877171707,-0.0983994842835,0.0162520585605,2450.0981395831845,-264.180490027,0.306981125811
37,"year,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueLog",0.0253692,10336.674691030648,-0.10482757282,0.115138790324,0.025143370675,11052.214546795702,-0.0963334631422,0.123016137348
38,"year,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueLog",0.0262733,5798.52915462144,-0.104940961815,0.0552523954766,0.0261941141493,5819.986424983461,-0.101754185258,0.0580986273951
39,"year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueLog",0.0290122,4119.535499069702,-0.107984256017,-0.0986598933363,0.025739986601,2925.5367356653323,-0.129320319856,0.0252556687828
40,"budget,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueLog",0.0142478,2326.342238835215,-11.4989753655,0.366393964656,0.0142731624528,2338.3667715851107,-11.5393911039,0.365267038635
41,"budget,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueLog",0.0146155,2277.2859411314175,-68.7255157551,0.341728879467,0.0146155963607,2277.605809808814,-68.6334019203,0.341725157346
42,"budget,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueLog",0.0148115,3555.0036284337757,-12319.3972366,0.327922748397,0.014809696202,3569.330032459708,-11918.324444,0.328005181625
43,"Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueLog",0.0242056,6383.389466762007,-0.020353144484,0.223063783251,0.0242119437941,6379.80854574043,-0.0213274969231,0.222858710775
44,"Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueLog",0.0249689,7157.557588018241,-0.0804050071199,0.160044981448,0.0249842451313,7176.633130944201,-0.0804099111817,0.159528408728
45,"Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueLog",0.0272039,7308.024074887253,-0.0942645308918,0.0767346824872,0.027194274458,7356.863017195982,-0.0932153033293,0.0770609302343
46,"year,budget,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4 -> revenueLog",0.0158859,2818.6014137029465,0.15453011699,0.27640122455,0.0147680115447,2116.226302765506,-50.7393681102,0.327320286227
47,"year,budget,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueLog",0.016683,4317.886213994636,0.229450523181,0.263913652502,0.0153371643411,3090.802062402729,-185.18980262,0.323295118993
48,"year,budget,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueLog",0.0147483,2684.9729993353994,-0.935197653078,0.306487647822,0.0141797612638,2151.1090361838874,-170.223188721,0.333224365657
49,"year,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Genre_18_Drama,Genre_35_Comedy,Genre_53_Thriller,Genre_10749_Romance,Genre_28_Action,Genre-Seg-1,Genre-Seg-2 -> revenueLog",0.0251995,6279.048058359086,-0.064587427069,0.141720129584,0.0243104160165,5687.732046542913,-0.0401833870161,0.172000357466
50,"year,Cast_121323_Bess Flowers,Cast_113_Christopher Lee,Cast_4165_John Wayne,Cast_2231_Samuel L. Jackson,Cast_3895_Michael Caine,Cast-Seg-1,Cast-Seg-2,Cast-Seg-3,Cast-Seg-4,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov -> revenueLog",0.0240577,4794.9263359393735,-0.0788857338074,0.123704273518,0.0228298346301,4645.371113184219,-0.0608370356904,0.168429252955
